"review","sentiment"
"pues si que es una novela policiaca sobre todo porque va de policias hay drogas prostitucion robo asesinato corrupcionmenudo abanicoson 105 capitulos bastante cortitos que se leen muy rapido cada uno te deja con ganas de empezar el siguiente refleja perfectamente la personalidad de los protagonistas rebeca marin una chica muy poco espabilada para su edad porque siempre ha estado volcada en los libros piensa que es hora de independizarse en muchos sentidos su padre militar de rango algo machista y chapado a la antigua su madre mujer de militar que se le viene el mundo encima con la decision de su hijarebeca se prepara para la policia es muy estudiosa e inteligente y aprueba a la primera pasa a la academia y ahi es donde ya empieza lo dificil relacionarte en una academia con compañeros y compañeras que son capaces de meterte en un lio es otra cosa estudiar y aprobar examenes es facil pero cuando ya te tienen que evaluar por tu comportamientodescubriremos con ella su iniciacion en la sexualidad algo que no le habia preocupado hasta ahora que quiere aparentar ante sus compañeras que no esta atontada se ve envuelta en el asesinato de un inspector que era odiado por todos sin comerlo ni beberlo por culpa de su inexperiencia a partir de ahi todo es liar mas la madeja cualquier cosa que haga es cubrirse mas de fango o que la expulsen una trampa muy bien orquestada en la que es complicado tomar una decision sobre cual es el siguiente paso a darrebecca tiene un arduo trabajo si quiere salir del atolladero impune o con el minimo daño posible un año lleno de tropiezos y aprendizaje sobre todo a sobrevivir y convivir con esa profesion como acabara su año de practicasuna trama en la sinceramente para mi lo menos importante ha sido quien es el culpable de asesinato me he sumergido en el dia a dia de la protagonista y es lo que mas me interesaba en varias ocasiones me habia planteado si prepararme para la policia y ha sido un gustazo leer este libro he acompañado a su protagonista rebeca desde que estaba en la academia hasta acabar su año de practicas he vivido con ella la inexperiencia y el miedo a no hacer las cosas bien a que la tomaran por tonta y no hacerse valer se le ha visto un progreso y seguridad que no tenia al principio","1"
"segun comence la lectura temi haberme equivocado con la eleccion pero en cuanto me recorde a mi misma que era una novela de ficcion la cosa cambio el cambio de chip me permitio disfrutar de la obra sin mas problemasrebeca la protagonista nos narra sus vivencias de unos años antes desde la perspectiva de los veinticuatro nos relata todo lo que ocurrio desde que con veintiun años decide hacerse policia e ingresa tras aprobar las oposiciones en la academia de avila la historia arranca en 1997 y abarca hasta principios del 2000 y nos devuelve a una epoca marcada por la corrupcionla muchacha nos cuenta sus experiencias las tramas de corrupcion que se encuentra tanto en la academia como en su año de practicas tambien asistimos a su madurez como persona y a muchos cambios en su vida personallos capitulos cortos consiguen atraparte enseguida a pesar de la narracion en primera persona y de que solo vemos las cosas desde el punto de vista de rebecca el autor se las apaña bastante bien para darnos a conocer al resto de personajes vamos descubriendo las cosas poco a poco y a la vez que ella por eso terminando viendo que las cosas no eran siempre lo que parecianme costo hacerme un poco con la forma de ser de rebeca es una ingenua idealista que no tiene claras algunas cosas entre ellas su propia sexualidad vemos su evolucion segun le ocurren cosas toma decisiones provocadas por la falta de confianza y madurez y tambien por no saber  en quien confiar pero no pierde la integridad la dudas propias de la juventud le dan un lado humano que se agradece y la hace mas creible es un buen contrapunto a su faceta de adalid de la justiciala novela es muy entretenida y facil de leer se hace referencia a situaciones y personas que bien pudieron ser reales pero con nombres y situaciones modificados o al menos eso me ha parecido entenderel autor enlaza bien las diferentes tramas la historia que nos narra es coherente y resulta creibleme lo he pasado muy bien con la lectura me ha venido genial para desconectar y pronto leere algo mas del autor","1"
"libro muy recomendable es el primero que leo de esteban navarro y no sera el ultimototalmente una sorpresa se aborda el tema desde una vision totalmente novedosa no me la espera asiuna vez que lo empiezas a leer no puedes dejarlo hasta acabarlo","1"
"he leido varios titulos de este autor en lo que va del verano y ahora estoy con crimenes del abecedario  vale no se tiene porque esperar un gellida un silva una gimenez bartlett o una men marias pero les falta profundidad y complejidad de trama a los personajes adentrarse un poco en sus procesos mentales conocerlos un pocose pierde la buena trama de investigacion de una novela mas bien corta en descripciones repetitivas de los atributos fisicos sensuales y sexuales de los personajes femeninos y sus reacciones en los masculinos con una narrativa tan casposa y machacona que de a ratos fastidia bastanteincluso cuando la narrativa esta hecha en primera persona y el personaje es mujer pienso que degrada e infravalora la tarea y como son vistas las mujeres policia y las describe como personajes que quedan mas bien raros y fuera de la realidad que conozco de los ffccse  esas descripciones fisicas no se hacen en los personajes masculinos a estos les pone nombres como celestino y edelmiro si sus edades superan los 50 años la separacion generacional se remarca exageradamente en fin faltaria mucho pulido en mi opinion  algunas novelas repiten demasiado tambien el conflicto de equiparacion y distribucion de funciones de los diferentes cuerpos en cataluña de tal forma que parecen u una arenga sindical a veceslas historias no estan mal y el conocimiento del funcionamiento y desviaciones del mismo desde dentro es algo que se nota en la trama y los ojos agradecenno obstante supongo que los libros estan enfocados a un nicho de mercado masculino y no muy acostumbrado a la novela negra no se trata de hacer propaganda feminista simplemente les hacen falta personajes femeninos mas realistas y fuertes","0"
"entretenido pero con la continua sensacion de que va arrancar la aventura pero al final nada de nada mis recuerdos de esa epoca totalmente distintos y eso que vivia en bcncuriosa protagonista cuanto menosen fin libros escritos por mi 0 por esteban un monton asi que me he puesto a buscar otros y estoy con el ajedrecista y nada que ver muy bueno el comienzo y ya tengo comprado la trilogia que empieza por su libro que fue finalista del planetaeste libro obsequio del autor grande un escritor que arriesga regalando alguno de sus libros conmigo ha acertado","0"
"esta novela de esteban navarro es totalmente diferente a las demas que el ha escrito y yo leido pero engancha desde el principio al lector de una forma prodigiosarebeca es hija unica de un militar de alto rangoella es la protagonista de la trama con situaciones inesperadas pagando muchas veces los errores cometidos a causa de su inexperiencia y su inocenciame gustaria recalcar el autor describe situaciones perfectamente reales facilmente creibles en las que ensalza a las fuerzas del orden pese a haber algunos elementos corruptos pues en todas las epocas de la vida ha habido personas con afan de lucro rapido y ademas este caso todo gira en torno a los años 90no me gustaria destapar su desenlace pero en mi humilde opinion no creo los familiares de militares o policias puedan verse ofendidos por su lectura la cual es amena razonada y esta tratada con respeto","1"
"esteban navarro hace un gran trabajo construyendo personajes y criticando la corrupcion dentro de la policia a pesar del ritmo pausado logra atraparte y pasas un buen rato con la lectura el crecimiento de la protagonista es notable hubiera preferido mas accion pero un año de practicas no es un titulo desechable en absoluto","1"
"novela entretenida como todas las del autor en la que te sumerge en la historia personal de la protagonista en su año de practicas tras el acceso a la policia nacionalrecomendable pero de las 12 novelas que llevo leidas del autor estaria en mitad de la tabla supongo porque tiene novelas que para mi son un 10","1"
"le pongo 3 estrellas y no 2 porque el inicio de la novela engancha y la narrativa no es pesada pero a medida que vas avanzando en la lectura la trama se va diluyendo yla denuncia de la corrupcion en la policia nacional y supongo que en otras administraciones esta bien al igual que los personajes estan bastantante bien definidos he comprado otro del mismo autor a ver si el epilogo es bueno y si no lo es no volvere a leerlo otra pega que veo no solo en esta novela es que es demasiado politicamente correcto","0"
"buena novela agil y facil de leer en la cual se habla de todo lo que creemos saber e intuimos pero casi nadie hace nada por impedirlo ya que el que lo intenta lo dejan fuera de juego o se lo cargan toda esta corrupcion es extrapolable a todos los ambitos de la vida y asi nos va muy recomendable y amena","1"
